patient_id,BRCA1_prom,ESR1_prom,GSTP1_prom,RASSF1A_prom,CDKN2A_prom,PTEN_prom,APC_prom,TIMP3_prom,CDH1_prom,MLH1_prom,CpG1_prom,CpG2_prom,CpG3_prom,CpG4_prom,CpG5_prom,CpG6_prom,CpG7_prom,CpG8_prom,CpG9_prom,CpG10_prom,CpG11_prom,CpG12_prom,CpG13_prom,CpG14_prom,CpG15_prom,CpG16_prom,CpG17_prom,CpG18_prom,CpG19_prom,CpG20_prom,CpG21_prom,CpG22_prom,CpG23_prom,CpG24_prom,CpG25_prom
SYN-0000,0.8431086676637215,0.99,0.663128589043825,0.5459778370164345,0.42770415293862296,0.28518891945298436,0.43739467251186065,0.7074703953708819,0.6138896500980634,0.258207640872205,0.42079469835441524,0.49170163123188193,0.5989111922834732,0.7755185689634125,0.3830485857116701,0.867365246721221,0.49968119746677425,0.44043530589956603,0.3445078177997267,0.6696269659750433,0.5102810829050968,0.4934230719517596,0.4962718117889415,0.5177097735721232,0.01,0.836963460798415,0.3996794375426923,0.47646182704910855,0.24655522433676752,0.47025923369591877,0.5733664531099036,0.3816399536575223,0.3480235759256966,0.3545236938147268,0.18608491574765573
SYN-0001,0.9091820081671433,0.970769125813999,0.407398557669619,0.5936877964776524,0.3024751625999548,0.5742448190644321,0.7828099112811914,0.5714950566645994,0.8819290889321729,0.44806345662139546,0.5718943414381255,0.6868244280597279,0.6212997648958601,0.28257436297821964,0.36211697023437384,0.9796276285690853,0.26348085059432236,0.3962304324013984,0.45741215119036766,0.40258877834233675,0.34509442394837947,0.32019590361831973,0.639388468414763,0.4447898879566424,0.35016793925945044,0.6028494325649022,0.19877462311910432,0.5739550022377851,0.2510646820316973,0.3933569689125888,0.5220758026923705,0.48675713395153064,0.2508207582308828,0.32928255822963604,0.3974144156249475
SYN-0002,0.01,0.01,0.04526484994682359,0.01,0.01,0.01,0.12560123488835223,0.1591299009435388,0.01,0.31814661256424615,0.21184620949517563,0.2779916054036173,0.3030009230125188,0.5293987888424773,0.4404246524772423,0.09870792396413733,0.5393995098726962,0.7227151006824882,0.3072924865479607,0.06759653593854946,0.576780971967438,0.16736298425105045,0.5926328326956655,0.3055625589683686,0.2976938388795971,0.6389337109948473,0.4095219939054228,0.5410893766021152,0.4726710949896626,0.07974383432987123,0.3042612625820472,0.1932575671848803,0.1846710080253237,0.17148050515080884,0.08434597561155471
SYN-0003,0.2063515759865087,0.8518659448258135,0.5418313247490675,0.5877519224994171,0.5187853495635117,0.3578203161414947,0.2769959938576143,0.31263828595055165,0.01,0.31972740006375316,0.3868265796844728,0.3792454249343063,0.27975348209613204,0.6650118861208704,0.49015201909399214,0.6355319268775387,0.44769185571621967,0.5730604285054433,0.24543682384258456,0.26126003304803436,0.99,0.18176542867450723,0.2217711685844796,0.3792788870035704,0.3526256867373544,0.5254280557207007,0.06454291180011248,0.5391419544418753,0.5852918828419035,0.6307304640204778,0.6060985011268081,0.39044939943044576,0.45221675927007404,0.3327352391106092,0.22871969984500745
SYN-0004,0.01,0.01,0.6171785259095002,0.41716196877289224,0.19645796595347173,0.5741514135780784,0.31787524433219094,0.31932097767884426,0.399896191706793,0.312196123957106,0.26419095134666526,0.3752154383623954,0.33531106639779623,0.5021641215958857,0.6887598472289191,0.3611584205040922,0.43790264236904297,0.2839530633507614,0.35503667417050133,0.2604588238315225,0.5436967498696315,0.1044200731614493,0.3270790578778337,0.5550060901321519,0.38320417302173604,0.3435631621873205,0.050034600551833286,0.6564030389929514,0.4208885390263155,0.5670289027091273,0.6965900479613687,0.051323245262731465,0.01,0.29045764517814343,0.2102154116111914
SYN-0005,0.7963025162230108,0.99,0.6577089494836105,0.49536328038776833,0.5851502036649094,0.7836611724267676,0.6839101482170974,0.4760214684838698,0.5131237556197791,0.21980387273821386,0.1870321720502213,0.6812869079232206,0.35948476903054183,0.37084791632008507,0.4093396440940938,0.7932620509807279,0.7201670685637525,0.36942016087632,0.18230123502940826,0.6950717000754596,0.14745203961892794,0.6357736124042613,0.3076697868175363,0.48282734435566316,0.036047314091743415,0.6595053201306982,0.4323341187902414,0.7501887266396934,0.8825453022394338,0.34272747794164654,0.4652962721471118,0.44755461746675834,0.19880636082883008,0.05068408333715335,0.20183429403628492
SYN-0006,0.15450695473611786,0.55431208575125,0.5682573855320849,0.5138435293480553,0.6627200369454669,0.4923479017085456,0.22549418113702446,0.4492473662822269,0.1555919690268216,0.20166136546024402,0.6865214050022641,0.4938312332944922,0.45528843353862014,0.3467002783640992,0.5465457425343632,0.7601687415097678,0.5798898249391946,0.25272955309343925,0.524547643427514,0.5665550887191102,0.7521808998202025,0.23155572733009538,0.20200064550161365,0.6703075227002142,0.22377963952351065,0.6906793265467654,0.09359805131228931,0.5221076222836719,0.349130087845762,0.5758147231952152,0.5696067388262462,0.3642205193947044,0.20065011709763916,0.23653767514582696,0.293821587587111
SYN-0007,0.01,0.01,0.2448311183449366,0.1157042168629,0.6994960616351696,0.26977039364511946,0.18942335992662224,0.15255891586529102,0.36600141653612345,0.09991096800486335,0.491184273358687,0.5230271030448711,0.5156628313681285,0.3714266455432602,0.4014981826697145,0.01,0.5284023343935276,0.21523787903451974,0.4427297269806776,0.01,0.3984879875764341,0.5351255342598822,0.49095878115084446,0.6998299994406101,0.01,0.3765357408052021,0.40093737022971665,0.30167052120172966,0.5122907765981222,0.5735055531226356,0.03758284372793874,0.5423512726742755,0.31766328803042054,0.15897110182036872,0.21962907655229938
SYN-0008,0.01,0.11962160624630767,0.01455879796058801,0.24113538552589853,0.2896416390389218,0.04099446157153752,0.08074181545593218,0.03489847684248426,0.01,0.509056664023172,0.36059274393630325,0.22761114200070276,0.7014416480971823,0.35877818863126476,0.5501224334697615,0.540802903107805,0.4836767132809033,0.7439054219871064,0.22822536916358885,0.3985893928503435,0.4664944396680923,0.1961200440018856,0.54762208292961,0.49615707184523644,0.17061814909021777,0.3264678289716267,0.02318768532793644,0.31540541537140937,0.2865150238957044,0.4092368362432351,0.3684719330142394,0.3046053436951615,0.19715633583769246,0.13177275518964277,0.03599000948772868
SYN-0009,0.01,0.01,0.18450748709392373,0.28879728391160897,0.3195204102534212,0.01,0.22743940821111733,0.11909670662843086,0.01,0.02967942940325699,0.06317325224144427,0.7175725268974238,0.37802315081853116,0.7349623888763813,0.620739083793859,0.17944571983383878,0.2797974338246826,0.6113125921955997,0.35652472384304473,0.12245857710442168,0.40772822255490715,0.08101427735840154,0.3372777307350696,0.4977168528306852,0.468902476380318,0.599702316052301,0.15323508498237604,0.5143032087933883,0.5481673919487317,0.5570691418325822,0.27792816513465873,0.2443498381896077,0.40919610775653653,0.27522226840935266,0.01
